src_ip,dst_ip,src_port,dst_port,num_packets,iat_min,iat_max,iat_mean,pkt_size_min,pkt_size_max,pkt_size_mean,total_bytes,syn_count,rst_count,fin_count
146.166.67.231,150.121.61.138,11611,10001,1,0,0,0,74,74,74,74,1,0,0
79.12.198.113,150.121.216.170,52753,5985,1,0,0,0,54,54,54,54,1,0,0
219.142.77.23,133.131.168.228,33987,2375,1,0,0,0,54,54,54,54,1,0,0
163.226.29.109,172.64.138.163,52363,443,1,0,0,0,54,54,54,54,0,0,0
3.115.194.179,150.121.216.21,42473,20070,1,0,0,0,54,54,54,54,1,0,0
147.186.100.225,131.81.202.106,50878,4786,1,0,0,0,58,58,58,58,1,0,0
202.230.253.1,194.74.89.94,465,63632,1,0,0,0,66,66,66,66,0,0,0
52.203.22.238,202.230.207.172,48418,11211,1,0,0,0,54,54,54,54,1,0,0
206.84.45.83,163.226.97.37,31414,1024,1,0,0,0,74,74,74,74,1,0,0
221.70.41.119,150.121.77.199,39368,8080,11,9.5367431640625e-07,0.11567497253417969,0.03523609638214111,54,74,62.36363636363637,686,1,4,1
94.134.41.57,202.101.53.156,443,25565,1,0,0,0,74,74,74,74,1,0,0
190.224.7.149,202.230.241.233,39327,23,1,0,0,0,54,54,54,54,1,0,0
161.62.41.137,203.77.25.23,51561,2380,1,0,0,0,74,74,74,74,1,0,0
150.121.89.124,45.185.184.4,55160,27034,1,0,0,0,54,54,54,54,0,0,0
69.77.158.88,150.121.90.38,443,49368,1,0,0,0,54,54,54,54,0,0,0
94.156.157.10,150.121.52.57,48058,8728,1,0,0,0,54,54,54,54,1,0,0
207.154.11.245,133.131.185.97,29011,9295,1,0,0,0,58,58,58,58,1,0,0
87.255.153.65,203.77.74.88,46091,1709,1,0,0,0,54,54,54,54,1,0,0
162.143.133.251,150.121.171.94,22285,32056,1,0,0,0,74,74,74,74,1,0,0
103.64.216.229,203.77.30.33,54331,8728,1,0,0,0,54,54,54,54,1,0,0
79.16.56.161,203.77.107.28,46050,7401,1,0,0,0,54,54,54,54,1,0,0
18.250.113.107,203.77.82.173,33867,18035,1,0,0,0,54,54,54,54,1,0,0
79.16.56.109,133.131.186.110,46015,44567,1,0,0,0,54,54,54,54,1,0,0
167.94.144.89,133.131.133.116,57002,10792,1,0,0,0,74,74,74,74,1,0,0
84.33.77.234,203.77.1.23,44472,2601,1,0,0,0,54,54,54,54,1,0,0
79.12.195.78,203.77.118.118,53356,1456,1,0,0,0,58,58,58,58,1,0,0
199.45.159.53,150.121.36.165,28916,830,1,0,0,0,74,74,74,74,1,0,0
45.108.142.31,150.121.253.157,39033,2181,1,0,0,0,54,54,54,54,1,0,0
167.94.144.228,203.77.47.232,20942,1911,1,0,0,0,74,74,74,74,1,0,0
103.64.216.26,150.121.239.228,40292,8728,1,0,0,0,54,54,54,54,1,0,0
43.122.169.220,133.131.93.204,30011,3112,1,0,0,0,66,66,66,66,1,0,0
150.121.89.151,172.67.140.134,55684,443,3,0.00014591217041015625,0.1648561954498291,0.08250105381011963,54,54,54,162,0,0,0
49.53.196.116,150.121.157.161,13017,9171,1,0,0,0,66,66,66,66,1,0,0
195.151.248.51,130.194.252.194,61000,25565,1,0,0,0,54,54,54,54,1,0,0
45.108.140.40,150.121.180.221,15835,8443,1,0,0,0,54,54,54,54,1,0,0
133.152.15.231,132.229.132.215,43902,80,3,0.00173187255859375,0.00826120376586914,0.004996538162231445,66,74,68.66666666666667,206,1,0,0
103.64.216.228,150.121.41.216,43227,8728,1,0,0,0,54,54,54,54,1,0,0
51.251.207.153,202.115.153.216,35185,53,2,7.390975952148438e-05,7.390975952148438e-05,7.390975952148438e-05,66,66,66,132,0,0,1
18.250.113.107,203.77.55.137,43129,3100,1,0,0,0,54,54,54,54,1,0,0
163.226.49.217,170.247.237.63,56359,443,2,0.3718249797821045,0.3718249797821045,0.3718249797821045,66,66,66,132,0,0,0
202.235.220.45,81.119.127.66,443,43842,1,0,0,0,66,66,66,66,1,0,0
64.48.234.34,202.235.220.193,49753,389,1,0,0,0,54,54,54,54,1,0,0
167.94.143.205,202.101.48.198,45746,35234,2,0.4676039218902588,0.4676039218902588,0.4676039218902588,54,74,64,128,1,0,0
